PHL,PVD,10420
CLE,DFW,10417
AGS,ATL,10404
ORD,BWI,10400
DEN,RNO,10400
PHL,DCA,10397
MDW,OMA,10367
BOS,SAN,10355
ASE,DEN,10354
IND,MCO,10347
PHX,PIT,10319
AUS,HOU,10311
PDX,BOI,10291
RSW,LGA,10288
BOI,PHX,10286
ATL,BTR,10279
COS,DEN,10276
PBI,BWI,10251
PHL,BDL,10240
DAL,LBB,10238
JFK,DCA,10236
HOU,DFW,10233
PIT,IAH,10217
LAS,ABQ,10208
LAX,ABQ,10207
MCO,ISP,10195
MDT,CLT,10191
EWR,MSP,10184
JFK,RSW,10184
MSP,EWR,10183
LAS,FLL,10177
ONT,SJC,10171
SFO,MCO,10170
