"PASSENGERS","ORIGIN","DEST",
0.00,"SDF","EMA",
0.00,"SDF","STN",
0.00,"STN","SDF",
0.00,"AUS","MTY",
0.00,"BOG","MIA",
0.00,"GDL","SDF",
0.00,"GUA","MIA",
0.00,"GYE","MIA",
0.00,"MEX","SDF",
0.00,"MGA","MIA",
0.00,"MIA","BOG",
0.00,"MIA","GUA",
0.00,"MIA","GYE",
0.00,"MIA","MGA",
0.00,"MIA","PTY",
0.00,"MIA","SAL",
0.00,"MIA","SAP",
0.00,"MIA","SDQ",
0.00,"MIA","SJO",
0.00,"MIA","UIO",
0.00,"MIA","VCP",
0.00,"MTY","AUS",
0.00,"MTY","SDF",
0.00,"PTY","MIA",
0.00,"SAP","MIA",
0.00,"SAT","GDL",
0.00,"SAT","MTY",
0.00,"SDF","GDL",
0.00,"SDF","MEX",
0.00,"SDF","MTY",
0.00,"SDQ","MIA",
0.00,"SJO","MIA",
0.00,"UIO","MIA",
0.00,"ANC","CJU",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","KIX",
0.00,"ANC","NRT",
0.00,"ANC","PVG",
0.00,"ANC","SZX",
0.00,"GUM","HKG",
0.00,"HKG","ANC",
0.00,"HNL","HKG",
0.00,"HNL","SYD",
0.00,"ICN","ANC",
0.00,"KIX","ANC",
0.00,"NRT","ANC",
0.00,"PVG","ANC",
0.00,"SZX","ANC",
0.00,"TPE","ANC",
0.00,"BGR","YUL",
0.00,"FSM","YHM",
0.00,"YMX","TOL",
0.00,"ANU","SJU",
0.00,"BQN","SDQ",
0.00,"CUN","MIA",
0.00,"CUU","ELP",
0.00,"ELP","CUU",
0.00,"GCM","MIA",
0.00,"GUA","MIA",
0.00,"JAN","BJX",
0.00,"MIA","CUN",
0.00,"MIA","GCM",
0.00,"MIA","GUA",
0.00,"MIA","MID",
0.00,"MIA","SAP",
0.00,"MID","MIA",
0.00,"PTK","SLW",
0.00,"PTK","TLC",
0.00,"QRO","TCL",
0.00,"SAP","MIA",
0.00,"SDQ","BQN",
0.00,"SJU","ANU",
0.00,"ACT","YOW",
0.00,"BHM","YWG",
0.00,"CUN","FLL",
0.00,"CUN","MIA",
0.00,"DAL","YYZ",
0.00,"FRG","YUL",
0.00,"GUA","MIA",
0.00,"LCK","YYZ",
0.00,"MIA","CUN",
0.00,"MIA","KIN",
0.00,"MIA","PUJ",
0.00,"MIA","SKB",
0.00,"MIA","YUL",
0.00,"MSP","YVR",
0.00,"PBG","YUL",
0.00,"PHL","YEG",
0.00,"PHL","YOW",
0.00,"PHL","YYZ",
0.00,"PHX","SKB",
0.00,"PUJ","MCO",
0.00,"PUJ","MIA",
0.00,"PUJ","SJU",
0.00,"SJD","LAX",
0.00,"SKB","SJU",
0.00,"TPA","PUJ",
0.00,"YEG","MIA",
0.00,"YHM","FRG",
0.00,"YHU","FLL",
0.00,"YHU","MIA",
0.00,"YUL","FRG",
0.00,"YWG","PIT",
0.00,"YYZ","BOS",
0.00,"YYZ","BUF",
0.00,"YYZ","CLT",
0.00,"YYZ","CVG",
0.00,"YYZ","LEX",
0.00,"YYZ","TPA",
0.00,"BUR","SJD",
0.00,"BUR","SXM",
0.00,"GUM","CTU",
0.00,"GUM","DLC",
0.00,"SPN","HGH",
0.00,"SPN","PEK",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","KKJ",
0.00,"ANC","NGO",
0.00,"ANC","NRT",
0.00,"ANC","PVG",
0.00,"AUH","IAH",
0.00,"BQN","MAD",
0.00,"CCS","BQN",
0.00,"CCS","MIA",
0.00,"CGO","ANC",
0.00,"CHR","PSM",
0.00,"CHS","TAR",
0.00,"CKG","ANC",
0.00,"CLT","HHN",
0.00,"CVG","LEJ",
0.00,"CVG","NRT",
0.00,"CVG","YHM",
0.00,"FAR","KEF",
0.00,"GDL","HSV",
0.00,"GUA","MIA",
0.00,"HHN","IAB",
0.00,"HKG","ANC",
0.00,"HNL","AKL",
0.00,"HNL","SYD",
0.00,"HSV","LUX",
0.00,"HSV","MEX",
0.00,"HSV","STN",
0.00,"IAH","LUX",
0.00,"IAH","SID",
0.00,"IAH","YYZ",
0.00,"ICN","ANC",
0.00,"JFK","HHN",
0.00,"JFK","MAR",
0.00,"LAX","ICN",
0.00,"LAX","PVG",
0.00,"LIM","MIA",
0.00,"LUX","HSV",
0.00,"MAR","MIA",
0.00,"MIA","AMS",
0.00,"MIA","CAY",
0.00,"MIA","CCS",
0.00,"MIA","EZE",
0.00,"MIA","LIM",
0.00,"MIA","MAO",
0.00,"MIA","RIX",
0.00,"MIA","SCL",
0.00,"MIA","UIO",
0.00,"MIA","VCP",
0.00,"MIA","YXU",
0.00,"MIA","YYC",
0.00,"MUC","LAX",
0.00,"MUC","SJU",
0.00,"NGO","ANC",
0.00,"NGO","CVG",
0.00,"NRT","ANC",
0.00,"ORD","CCS",
0.00,"ORD","KEF",
0.00,"ORD","TSN",
0.00,"ORD","YWG",
0.00,"ORD","YYC",
0.00,"PAE","NGO",
0.00,"PSM","GUA",
0.00,"PVG","ANC",
0.00,"RIV","NGO",
0.00,"SCL","MIA",
0.00,"SJU","LIM",
0.00,"TAR","JFK",
0.00,"TPE","ANC",
0.00,"TSN","ANC",
0.00,"UIO","MIA",
0.00,"YHM","CVG",
0.00,"YWG","ANC",
0.00,"YYC","BIF",
0.00,"BHX","CVG",
0.00,"CVG","BHX",
0.00,"GUA","MIA",
0.00,"JFK","GUA",
0.00,"JFK","WAW",
0.00,"LEJ","JFK",
0.00,"WAW","JFK",
0.00,"YYR","CVG",
0.00,"BFI","YVR",
0.00,"BOG","MIA",
0.00,"CCS","MIA",
0.00,"CVG","GDL",
0.00,"CVG","MEX",
0.00,"CVG","MTY",
0.00,"CVG","PVR",
0.00,"GDL","CVG",
0.00,"GDL","LAX",
0.00,"GEO","MIA",
0.00,"GUA","LAX",
0.00,"HRL","MTY",
0.00,"KIN","MIA",
0.00,"LAX","GUA",
0.00,"LAX","MEX",
0.00,"LAX","SJO",
0.00,"LIM","MIA",
0.00,"MEX","CVG",
0.00,"MEX","LAX",
0.00,"MIA","BGI",
0.00,"MIA","BOG",
0.00,"MIA","CCS",
0.00,"MIA","KIN",
0.00,"MIA","LIM",
0.00,"MIA","PAP",
0.00,"MIA","PBM",
0.00,"MIA","POS",
0.00,"MIA","PTY",
0.00,"MIA","SDQ",
0.00,"MIA","SJO",
0.00,"MTY","CVG",
0.00,"MTY","HRL",
0.00,"PAP","MIA",
0.00,"PBM","MIA",
0.00,"POS","MIA",
0.00,"PTY","MIA",
0.00,"SDQ","MIA",
0.00,"SEA","YVR",
0.00,"SJO","MIA",
0.00,"YVR","BFI",
0.00,"SDF","PBC",
0.00,"TOL","SLW",
0.00,"TOL","TLC",
0.00,"ADS","TLC",
0.00,"DAL","SLW",
0.00,"LRD","PBC",
0.00,"LRD","SLW",
0.00,"MFE","SLW",
0.00,"PBC","LRD",
0.00,"SLW","LRD",
0.00,"SLW","MFE",
0.00,"TLC","LRD",
0.00,"DXB","JFK",
0.00,"DXB","ORD",
0.00,"JFK","DXB",
0.00,"ORD","DXB",
0.00,"BFI","YYC",
0.00,"YYC","BFI",
0.00,"ATL","FRA",
0.00,"FRA","ATL",
0.00,"FRA","IAH",
0.00,"FRA","LAX",
0.00,"FRA","ORD",
0.00,"IAH","FRA",
0.00,"IAH","LEJ",
0.00,"LAX","FRA",
0.00,"ORD","FRA",
0.00,"IAD","CAY",
0.00,"IAH","YYT",
0.00,"MIA","MVD",
0.00,"BOG","MIA",
0.00,"CVG","BAH",
0.00,"CVG","LEJ",
0.00,"HKG","ANC",
0.00,"HKG","CVG",
0.00,"HKG","LAX",
0.00,"LAX","HKG",
0.00,"LAX","LEJ",
0.00,"LEJ","CVG",
0.00,"MIA","BOG",
0.00,"BUF","YOW",
0.00,"GFK","YWG",
0.00,"GTF","YYC",
0.00,"IND","YMX",
0.00,"IND","YYZ",
0.00,"MEM","YEG",
0.00,"MEM","YMX",
0.00,"MEM","YOW",
0.00,"MEM","YVR",
0.00,"MEM","YWG",
0.00,"MEM","YYC",
0.00,"MEM","YYZ",
0.00,"YEG","MEM",
0.00,"YMX","EWR",
0.00,"YMX","IND",
0.00,"YMX","MEM",
0.00,"YOW","BUF",
0.00,"YVR","GEG",
0.00,"YVR","MEM",
0.00,"YVR","SEA",
0.00,"YWG","GFK",
0.00,"YWG","MEM",
0.00,"YYC","GTF",
0.00,"YYC","MEM",
0.00,"YYZ","IND",
0.00,"YYZ","MEM",
0.00,"BOG","MEM",
0.00,"BQN","BGI",
0.00,"BQN","CUR",
0.00,"BQN","POS",
0.00,"BQN","SDQ",
0.00,"BQN","SLU",
0.00,"EZE","MEM",
0.00,"GDL","MEM",
0.00,"MEM","BOG",
0.00,"MEM","GDL",
0.00,"MEM","MEX",
0.00,"MEM","MTY",
0.00,"MEM","PTY",
0.00,"MEM","TLC",
0.00,"MEM","VCP",
0.00,"MIA","BOG",
0.00,"MIA","CUN",
0.00,"MIA","KIN",
0.00,"MIA","VLN",
0.00,"MTY","MEM",
0.00,"PTY","MEM",
0.00,"SJU","ANU",
0.00,"SJU","PTP",
0.00,"SJU","SKB",
0.00,"TLC","MEM",
0.00,"VCP","MEM",
0.00,"CDG","BOI",
0.00,"CDG","EWR",
0.00,"CDG","MEM",
0.00,"CGN","BOS",
0.00,"CGN","MEM",
0.00,"FRA","MEM",
0.00,"IND","CDG",
0.00,"IND","STN",
0.00,"MEM","BLR",
0.00,"MEM","CDG",
0.00,"MEM","CGN",
0.00,"MEM","DXB",
0.00,"MEM","STN",
0.00,"MXP","MEM",
0.00,"STN","IND",
0.00,"STN","MEM",
0.00,"ANC","BKK",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","KIX",
0.00,"ANC","NRT",
0.00,"ANC","PEK",
0.00,"ANC","PVG",
0.00,"ANC","SIN",
0.00,"ANC","TPE",
0.00,"CAN","PHX",
